ID,States,MedianIncome
48,Alabama,"55,480"
8,Alaska,"113,934"
26,Arizona,"74,375"
50,Arkansas,"51,032"
5,California,"123,988"
12,Colorado,"97,301"
7,Connecticut,"114,156"
1,DC,"162,265"
18,Delaware,"87,173"
34,Florida,"68,818"
36,Georgia,"66,612"
2,Hawaii,"141,832"
30,Idaho,"70,041"
23,Illinois,"78,304"
37,Indiana,"64,170"
32,Iowa,"68,974"
35,Kansas,"68,489"
47,Kentucky,"55,629"
46,Louisiana,"56,282"
22,Maine,"79,800"
4,Maryland,"124,693"
3,Massachusetts,"127,760"
40,Michigan,"62,446"
19,Minnesota,"86,364"
51,Mississippi,"46,880"
42,Missouri,"59,715"
33,Montana,"68,937"
28,Nebraska,"72,384"
20,Nevada,"80,366"
9,New Hampshire,"110,205"
6,New Jersey,"117,847"
44,New Mexico,"58,911"
13,New York,"91,366"
38,North Carolina,"63,025"
21,North Dakota,"79,874"
41,Ohio,"61,904"
45,Oklahoma,"57,215"
14,Oregon,"91,100"
25,Pennsylvania,"74,711"
10,Rhode Island,"104,252"
39,South Carolina,"62,909"
31,South Dakota,"69,266"
43,Tennessee,"59,077"
29,Texas,"70,513"
15,Utah,"89,786"
16,Vermont,"89,695"
17,Virginia,"89,393"
11,Washington,"103,748"
49,West Virginia,"52,719"
27,Wisconsin,"72,602"
24,Wyoming,"76,307"
